ID_racconto,titolo_racconto,date,q1,q3,lower,upper
S109,La pioggia e le foglie,1963-10-01,27,18,11,30
S110,La fermata sbagliata,1963-11-01,11,35,10,35
S111,"Fumo, vento e bolle di sapone",1963-11-01,27,10,10,34
S112,"Un sabato di sole, sabbia e sonno",1963-11-01,27,18,11,30
S113,La città tutta per lui,1963-11-01,10,12,8,30
S114,Il giardino dei gatti ostinati,1963-11-01,30,4,4,35
S115,I figli di Babbo Natale,1963-11-01,14,8,8,27
S116,Dov'è più azzurro il fiume,1963-11-01,12,18,11,30
S117,La città smarrita nella neve,1963-11-01,11,18,11,30
S118,La distanza della Luna,1964-11-01,-3,19,-3,35
S119,Sul far del giorno,1964-11-01,-3,3,-3,35
S120,Un segno nello spazio,1964-11-01,-3,12,-3,35
S121,Tutto in un punto,1964-11-01,-3,3,-3,13
S122,Senza colori,1965-04-01,-3,19,-3,31
S123,Fino a che dura il Sole,1965-04-01,-3,7,-3,15
S124,Lo zio acquatico,1965-05-01,-3,19,-3,31
S125,La Luna come un fungo,1965-05-01,-3,7,-3,34
S126,Giochi senza fine,1965-10-01,-3,21,-3,35
S127,I meteoriti,1965-10-01,-3,11,-3,31
S128,La forma dello spazio,1965-11-01,-3,4,-3,35
S129,Quanto scommettiamo,1965-11-01,-3,12,-3,26
S130,I Dinosauri,1965-11-01,-3,30,-3,35
S131,Gli anni-luce,1965-11-01,-3,11,-3,35
S132,La spirale,1965-11-01,-3,3,-3,35
S133,Ti con zero,1966-11-01,0,35,-2,35
S134,Mitosi,1967-01-01,-2,8,-2,35
S135,L'inseguimento,1967-05-01,0,36,-2,36
S136,I cristalli,1967-06-01,-3,-2,-3,34
S137,L'origine degli Uccelli,1967-07-01,-3,-2,-3,35
S138,La memoria del mondo,1967-07-01,0,36,0,36
S139,"Il sangue, il mare",1967-07-01,-3,36,-3,36
S140,Il guidatore notturno,1967-07-01,0,11,0,35
S141,La molle Luna,1967-10-01,-3,-3,-3,35
S142,Meiosi,1967-10-01,7,7,7,7
S143,Morte,1967-10-01,7,7,7,7
S144,Il conte di Montecristo,1967-10-01,0,35,0,35
S145,Le figlie della Luna,1968-05-01,-3,4,-3,36
S146,Il cielo di pietra,1968-11-01,-3,12,-3,35
S147,Tempesta solare,1968-11-01,-3,12,-3,35
S148,Le conchiglie e il tempo,1968-11-01,-3,7,-3,18
